implementation,base,O1,O2,O3
baseline,279.113867,79.137000,90.870867,62.594267
pipelined,252.079000,81.509399,90.288533,61.323733
ternary,289.722000,80.731333,93.679267,62.141267
packed_angles,237.139733,76.602599,80.227467,61.847800
register,105.308200,87.400800,91.787667,66.148333
rounded,725.985200,112.880067,108.601600,104.451800
simd,577.160400,205.973267,207.475933,164.633067
unrolled_1,247.135600,82.209333,99.097267,172.699667
unrolled_3,364.166333,74.347067,86.398133,134.776933
unrolled_5,256.690333,67.876067,77.223400,137.190267
unrolled_15,187.078200,68.914733,80.947133,94.086533
