implementation,base,O1,O2,O3
baseline,0.233221,0.084667,0.090747,0.068807
pipelined,0.252199,0.078608,0.086831,0.059979
ternary,0.287303,0.085465,0.086015,0.058843
packed_angles,0.325851,0.064179,0.073548,0.059784
register,0.102666,0.070162,0.085839,0.094757
rounded,0.715660,0.104806,0.101643,0.097588
simd,0.555898,0.201625,0.204169,0.161333
unrolled_1,0.242071,0.078214,0.093168,0.125759
unrolled_3,0.221725,0.070158,0.078665,0.126582
unrolled_5,0.244419,0.064656,0.070302,0.124076
unrolled_15,0.175936,0.066501,0.074918,0.097345
